,id,timestamp,queue_delay_port_137,number_of_packets_for_average_port_137,queue_delay_port_136,number_of_packets_for_average_port_136
291,149,819922391509202,295678931,292,40409,75
292,149,819922747524382,351263436,222,64679,120
293,150,819923102148840,1259478679,312,66270,123
294,150,819923454189121,4122177697,302,64315,119
295,151,819923815423987,2404271665,322,172758,320
296,151,819924171613586,3759701279,227,121641,225
297,152,819924529326923,2311739978,352,189042,350
298,152,819924880348368,3186694689,312,167354,310
299,153,819925239974799,309232547,222,87569,162
300,153,819925591966956,3042504530,232,42143,78
301,154,819925957341253,1844872934,227,45357,84
302,154,819926311997275,2398954074,137,30866,57
303,155,819926676173355,1968575370,187,16247,30
304,155,819927029283324,2359268760,157,31311,58
305,156,819927378167939,2696080809,207,22720,42
306,156,819927735843930,3900442982,302,23204,43
307,157,819928094131214,943563783,312,26969,50
308,157,819928449371668,824677440,322,148271,275
309,158,819928806924377,4034928335,207,110507,205
310,158,819929157924719,3882250934,237,126771,235
311,159,819929515706391,2611342843,322,172560,320
312,159,819929878966331,3688705935,152,81211,150
313,160,819930238931208,2274407908,147,73120,135
314,160,819930595351932,3998896502,182,91901,170
315,161,819930954838249,2976392212,312,167324,310
316,161,819931304966247,2158449505,147,78513,145
317,162,819931659577270,1857897630,282,151124,280
318,162,819932013790777,76364320,297,99166,184
319,163,819932370033427,4077121470,332,58340,108
320,164,819933080072116,1714668025,172,91685,170
321,164,819933434039736,1586449114,147,47948,89
322,165,819933788258872,1427322988,147,28038,52
323,165,819934143738946,3260290743,297,105067,195
324,166,819934503075395,1152068419,237,126705,235
325,166,819934861108956,3041484687,232,124206,230
326,167,819935215853191,2829223255,292,156438,290
327,167,819935570713579,3463769177,317,169948,315
328,168,819935931275306,1071547344,312,30815,57
329,168,819936280146747,4134496622,267,51925,96
330,169,819936635642988,3753461604,182,8637,16
331,169,819936986321438,3067240278,352,60455,112
332,170,819937341730226,2894869188,332,31883,59
333,170,819937692998720,3852216074,292,26938,50
334,171,819938054741726,2602784352,337,51185,95
335,171,819938417715913,1405719920,317,43112,80
336,172,819938765947046,1864443440,182,27558,51
337,172,819939124955945,3940616832,132,11902,22
338,173,819939481359599,3310397090,312,162330,301
339,173,819939831978884,1380464910,232,104695,194
340,174,819940190915834,3431102356,222,118553,220
341,174,819940541950858,2003988339,222,118763,220
342,175,819940894611380,2250157892,292,156655,290
343,175,819941249333595,1776551663,327,123711,229
344,176,819941613837567,2221668924,187,57316,106
345,176,819941968990328,2111024203,182,97305,180
346,177,819942332414235,2382589148,252,135044,250
347,177,819942684109341,941048326,302,97727,181
348,178,819943035570914,3084850122,312,51764,96
349,178,819943387834110,3146137182,312,68648,127
350,179,819943746931835,1495552279,162,41082,76
351,179,819944104975847,862748334,137,22247,41
352,180,819944467051670,587137672,142,18383,34
353,180,819944832785570,143283831,322,29141,54
354,181,819945190879193,697896333,322,52967,98
355,181,819945553108550,4115534557,302,140922,261
356,182,819945917271825,3633941455,332,178236,330
357,182,819946267517113,917353873,282,151281,280
358,183,819946622463373,4079137751,167,89233,165
359,183,819946979983291,1859123382,147,78424,145
360,184,819947338840162,501715094,152,81118,150
361,184,819947697606016,244548142,292,126378,234
362,185,819948056124324,3001098502,317,122512,227
363,185,819948410929832,25184600,327,80379,149
364,186,819948771957209,3733313311,317,111599,207
365,186,819949130950630,3977765566,302,86244,160
366,187,819949485860904,1691846713,292,93764,174
367,187,819949838378676,2915781077,342,55018,102
368,188,819950188959703,77922372,317,123510,229
369,188,819950542184993,3931621390,287,153852,285
370,189,819950893949408,363444674,322,142887,265
371,189,819951250997804,754864498,262,40458,75
372,190,819951611961286,142571870,252,23199,43
373,190,819951974168731,1351487509,307,64143,119
374,191,819952335980120,3836786388,357,188669,350
375,191,819952690424991,315875169,347,186002,345
376,192,819953047534830,2345654577,362,194008,360
377,192,819953403864208,681286174,302,161863,300
378,193,819953763090422,3452193442,342,183475,340
379,193,819954127294004,3760124064,257,137589,255
380,194,819954487017137,4204948990,277,148350,275
381,194,819954841147987,438868545,312,167195,310
382,195,819955196714161,3957655259,257,126674,235
383,195,819955553936076,4217743362,327,83530,155
384,196,819956267311358,2297325158,232,84649,157
385,197,819956619103768,4144412816,312,167151,310
386,197,819956975867919,1078603988,232,123950,230
387,198,819957324142548,2969562793,167,88941,165
388,198,819957678998676,3066663684,142,75397,140
389,199,819958039678596,951878541,337,180631,335
390,199,819958394556084,880101131,162,86286,160
391,200,819958747809330,3511568540,207,110605,205
392,200,819959107828143,3730598362,287,153641,285
393,201,819959460127848,1741297058,127,67470,125
394,201,819959821140188,3074475424,187,99774,185
395,202,819960174538577,3003287210,342,183312,340
396,202,819960527551235,2463531340,332,177944,330
397,203,819960888579133,4117519926,302,161697,300
398,203,819961240124150,1137115506,257,137563,255
399,204,819961595488038,1002862460,322,172652,320
400,204,819961949678289,2977711785,227,121569,225
401,205,819962303919740,3168355452,227,121670,225
402,205,819962664431466,339713840,137,55750,103
403,206,819963018879945,870636119,147,28129,52
404,206,819963373605151,3373561846,287,42717,79
405,207,819963737056352,1341814368,297,151226,280
406,207,819964090700934,3069736062,312,167239,310
407,208,819964449169599,3921777253,207,110605,205
408,208,819964808553401,1735149843,142,75641,140
409,209,819965171036343,2182500094,202,107884,200
410,209,819965531754471,3973905859,287,153706,285
411,210,819965888082645,1568080301,332,177966,330
412,210,819966252068325,2530187574,267,143150,265
413,211,819966606772252,4269869833,147,42185,78
414,211,819966960823138,3831925827,242,34077,63
415,212,819967313833376,1612850695,327,40540,75
416,212,819967668188673,3806960925,337,60967,113
417,213,819968027957589,1262453296,297,123072,228
418,213,819968380621447,832997754,282,150916,280
419,214,819968738938070,2204049863,327,175328,325
420,214,819969103679749,4260300200,287,136539,253
421,215,819969469905040,3330910002,262,123206,228
422,215,819969820952080,1779803809,317,169972,315
